Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
DBS311NEE - Lab 00 - Login to Oracle and load the script,9/6/2024,,9/6/2024,,TRUE,L00 load script in week 1,,TRUE
DBS311NEE - Lab 01 - (0.5%) Select review,9/13/2024,,9/13/2024,,TRUE,Week 2 L01-select review,,TRUE
DBS311NEE - Lab 02 - (0.5%),9/20/2024,,9/20/2024,,TRUE,Week 3 L02-functions,,TRUE
DBS311NEE - Assignment 01 - (5%),9/20/2024,,9/20/2024,,TRUE,,,TRUE
DBS311NEE - Lab 03 - (0.5%),9/27/2024,,9/27/2024,,TRUE,Week 4 L03-subquery-etc,,TRUE
DBS311NEE - Lab 04 - (0.5%),10/4/2024,,10/4/2024,,TRUE,Week 5 L04-SETS self study,,TRUE
DBS311NEE - Lab 05 - (0.5%),10/11/2024,,10/11/2024,,TRUE,,,TRUE
DBS311NEE - Assignment 01 - (5%),10/11/2024,,10/11/2024,,TRUE,,,TRUE
DBS311NEE - Midterm Test  - (35%),10/15/2024,11:40 AM,10/15/2024,1:40 PM,FALSE,,B3044,TRUE
DBS311NEE - Lab 06 - (0.5%),11/1/2024,,11/1/2024,,TRUE,,,TRUE
DBS311NEE - Assignment 02 - (15%),11/1/2024,,11/1/2024,,TRUE,,,TRUE
DBS311NEE - Lab 07 - (0.5%),11/8/2024,,11/8/2024,,TRUE,,,TRUE
DBS311NEE - Lab 08 - (0.5%),11/15/2024,,11/15/2024,,TRUE,,,TRUE
DBS311NEE - Lab 09 - (0.5%),11/22/2024,,11/22/2024,,TRUE,,,TRUE
DBS311NEE - Lab 10 - (0.5%),11/29/2024,,11/29/2024,,TRUE,,,TRUE
DBS311NEE - Assignment 02 - (15%),11/29/2024,,11/29/2024,,TRUE,,,TRUE
DBS311NEE - Final Test - (35%),12/5/2024,3:20 PM,12/5/2024,5:20 PM,FALSE,,A4516,TRUE
